id,machine_type,facility_zone,shift,sensor_model,maintenance_strategy,load_pct,rpm,power_kw,voltage_v,power_factor,vibration_mm_s,oil_pressure_bar,coolant_temp_c,bearing_temp_c,operating_hours,days_since_maintenance,anomaly_count_7d,sensor_uptime_pct,machine_state
63846,turbine,utilities,evening,S4,predictive,57.07,4221.0,178.13,398.62,0.8758,2.838,5.892,86.63,92.37,18044.4,81.17,2,99.5,1
63847,pump,cold_storage,day,S3,preventive,42.92,1686.6,27.44,395.21,0.8976,1.74,4.795,,81.69,21378.7,10.18,2,98.894,1
63848,conveyor,packaging,day,S2,reactive,60.21,1146.1,56.99,394.41,0.8632,3.136,4.704,85.64,94.59,30867.0,63.77,0,98.208,2
63849,pump,packaging,day,S3,preventive,37.73,1695.5,24.81,412.73,0.9845,2.167,4.97,64.99,76.05,14400.1,71.09,0,96.686,1
63850,compressor,packaging,evening,S3,predictive,55.29,2586.3,74.33,409.32,0.9424,2.679,6.326,79.32,84.77,3832.2,55.73,1,98.952,1
63851,compressor,utilities,night,S3,predictive,75.65,3445.9,124.19,397.48,0.9111,2.616,5.739,89.42,99.5,16264.9,86.8,2,99.065,1
63852,compressor,assembly,day,S4,predictive,81.18,3058.4,124.21,406.51,0.9316,3.366,5.594,88.48,98.3,43480.6,55.04,0,97.413,1
63853,pump,packaging,day,S4,predictive,82.53,2575.9,77.6,414.25,0.9061,2.67,4.523,73.92,84.61,7886.3,64.1,0,99.386,2
63854,pump,processing,day,S3,preventive,78.89,2299.1,63.44,405.28,0.9381,1.653,5.44,89.94,103.13,6851.8,12.95,0,100.0,1
63855,mixer,utilities,night,S3,preventive,81.59,1737.1,137.44,406.91,0.9094,2.344,5.43,88.71,93.21,19201.0,15.01,0,99.444,1
63856,conveyor,utilities,day,S4,predictive,57.67,855.8,40.12,405.71,0.8973,2.177,5.51,84.81,90.62,14107.2,26.0,0,99.508,1
63857,pump,cold_storage,evening,S4,reactive,68.06,2039.2,47.1,399.92,0.9082,3.35,5.456,74.87,77.57,7232.1,126.63,2,98.385,2
63858,conveyor,packaging,evening,S3,reactive,58.71,1052.1,51.47,385.73,0.9609,2.626,4.776,83.14,97.11,10575.5,124.0,1,98.954,1
63859,conveyor,packaging,evening,S3,preventive,63.52,964.0,52.98,407.17,0.9271,2.57,4.886,76.04,82.71,15673.5,87.83,0,98.856,1
63860,turbine,packaging,day,S3,predictive,56.1,4307.4,166.16,406.55,0.9196,2.249,6.834,74.94,85.35,9664.9,31.13,0,98.69,1
63861,compressor,assembly,night,S1,preventive,64.24,2572.4,87.72,398.23,0.9341,,5.816,78.91,86.16,28374.0,50.02,0,99.22,2
63862,pump,processing,day,S1,reactive,90.76,2320.5,72.06,391.97,0.9105,2.347,6.44,93.68,106.85,5367.1,11.15,2,99.515,3
63863,pump,cold_storage,day,S2,preventive,69.07,2066.6,63.2,400.06,0.9168,2.987,5.442,84.27,94.92,7373.4,91.36,1,98.11,2
63864,compressor,utilities,day,S3,preventive,62.43,2657.4,79.73,414.56,0.9345,2.897,5.336,82.61,89.78,54275.0,50.11,1,99.793,1
63865,compressor,utilities,evening,S4,preventive,53.93,2670.8,73.35,400.2,0.9569,2.118,5.901,81.12,90.94,12038.0,53.28,1,98.302,1
63866,turbine,cold_storage,day,S1,preventive,74.58,3891.7,188.36,405.37,0.9028,3.748,5.228,88.19,101.15,22353.1,73.11,0,98.654,1
63867,turbine,packaging,day,S3,reactive,55.06,4102.7,153.26,404.17,0.9121,2.525,6.228,77.17,83.54,27204.1,52.67,0,98.539,1
63868,compressor,assembly,night,S2,preventive,58.03,2732.9,96.0,416.4,0.9094,2.227,5.869,85.55,91.06,28620.0,13.71,1,99.648,1
63869,conveyor,processing,day,S1,preventive,61.06,979.1,46.94,397.48,0.9185,1.981,5.018,76.33,87.68,14528.1,18.96,2,98.425,1
63870,compressor,cold_storage,evening,S1,predictive,61.96,2568.8,67.46,388.65,0.939,1.182,6.123,76.66,83.84,5489.5,17.44,0,98.636,1
63871,conveyor,processing,evening,S2,predictive,48.5,933.7,41.56,403.03,0.9207,2.064,5.485,76.45,82.36,16400.9,48.97,0,100.0,1
63872,turbine,assembly,night,S2,preventive,90.73,5287.7,287.76,392.56,0.9324,3.23,5.644,108.24,110.38,16263.6,33.85,0,99.081,3
63873,pump,processing,night,S1,preventive,81.34,2230.0,67.16,379.37,0.9361,2.635,4.954,93.53,107.08,12929.6,54.93,0,99.104,3
63874,compressor,cold_storage,evening,S4,preventive,64.01,2594.4,91.05,392.78,0.909,2.154,5.948,85.15,95.52,10438.7,35.29,0,98.411,1
63875,conveyor,assembly,day,S2,reactive,60.11,945.3,48.5,424.73,0.9538,3.51,4.951,86.94,93.84,14583.8,132.5,2,99.409,2
63876,compressor,packaging,evening,S3,predictive,82.68,3338.4,136.12,403.44,0.9241,2.137,5.831,88.15,99.17,7629.6,15.13,0,98.278,1
63877,mixer,packaging,day,S4,preventive,70.0,1525.1,95.47,398.84,0.9295,3.472,5.139,87.3,94.86,30830.8,50.4,1,98.975,3
63878,mixer,assembly,day,S3,predictive,82.29,1716.8,133.77,405.65,0.9193,2.283,5.101,90.71,103.16,21956.9,37.77,0,98.975,1
63879,turbine,packaging,day,S3,reactive,88.69,5364.2,262.38,396.36,0.9706,3.388,6.049,94.68,106.8,16975.2,120.8,1,99.055,3
63880,turbine,utilities,day,S3,reactive,70.47,5055.0,229.82,388.63,0.9246,1.572,6.414,80.24,88.12,19542.4,18.12,0,99.421,1
63881,pump,utilities,evening,S4,preventive,54.51,2052.6,38.26,404.2,0.9429,2.071,5.722,82.61,88.24,5845.5,28.08,0,99.086,1
63882,pump,packaging,day,S1,predictive,64.15,2052.4,48.44,378.84,0.8195,2.476,5.433,87.05,94.55,9286.9,54.5,1,99.47,2
63883,conveyor,utilities,evening,S2,preventive,65.46,949.0,52.3,417.52,0.8953,2.67,4.691,88.14,99.56,19707.1,57.2,0,99.885,2
63884,turbine,packaging,night,S3,preventive,74.71,4936.1,240.57,405.29,0.9176,2.753,6.503,75.56,92.42,7772.7,27.17,0,99.062,1
63885,pump,processing,evening,S2,predictive,74.11,2312.0,59.46,403.74,0.9436,2.252,6.062,91.78,101.03,6161.7,48.01,0,96.697,1
63886,turbine,processing,evening,S1,reactive,91.85,5782.4,280.99,394.79,0.8754,3.049,6.225,89.97,100.2,6579.9,65.94,0,96.97,1
63887,turbine,processing,night,S4,preventive,47.92,3958.5,131.32,402.3,0.9181,2.265,6.48,76.2,84.01,15304.5,11.83,0,99.294,1
63888,mixer,assembly,evening,S2,predictive,54.55,1519.9,86.51,397.69,0.9306,2.075,5.656,75.33,86.58,9325.0,41.6,0,98.356,1
63889,pump,packaging,evening,S3,preventive,81.71,2627.4,75.79,396.98,0.9152,2.387,5.22,90.44,102.66,18658.5,93.17,2,99.653,1
63890,turbine,cold_storage,day,S3,predictive,103.99,6230.6,423.99,413.61,0.9092,3.793,5.872,103.88,115.83,21377.2,126.56,1,98.569,3
63891,conveyor,packaging,night,S2,reactive,68.48,1073.5,62.2,417.74,0.9032,1.595,5.989,76.08,79.78,15002.7,36.1,0,99.682,1
63892,pump,utilities,day,S3,reactive,61.83,2093.1,53.36,401.95,0.885,2.723,5.199,76.94,91.61,20523.6,47.12,0,99.707,1
63893,compressor,utilities,evening,S2,predictive,81.75,3133.6,130.48,412.54,0.9666,2.425,5.476,84.86,89.4,19221.9,38.3,2,98.184,1
63894,mixer,utilities,evening,S3,predictive,54.03,1326.9,67.57,394.87,0.9371,2.887,5.254,71.13,80.47,17626.8,18.47,0,98.519,1
63895,pump,processing,day,S4,preventive,51.06,1939.2,48.8,393.47,0.8644,2.999,4.906,77.41,,37021.8,44.18,2,96.491,2
63896,pump,utilities,day,S4,reactive,81.38,2277.0,74.31,427.05,0.8765,2.917,5.49,85.32,94.44,13213.7,14.4,0,98.93,1
63897,compressor,assembly,evening,S4,reactive,101.14,3838.6,188.95,400.61,0.9127,,5.732,98.16,106.77,12127.4,77.72,1,98.587,2
63898,pump,processing,evening,S4,preventive,70.25,2515.5,67.27,400.36,0.9238,1.622,5.762,80.45,89.41,12457.4,27.32,0,98.732,1
63899,conveyor,utilities,day,S3,reactive,52.54,944.8,46.98,403.69,0.9412,2.642,4.969,86.96,95.96,21282.4,68.76,1,100.0,1
63900,compressor,cold_storage,evening,S2,reactive,59.31,2859.1,94.71,392.57,0.8831,2.79,5.781,79.75,87.68,20662.4,58.67,0,98.685,1
63901,mixer,processing,day,S3,preventive,112.0,1833.9,182.86,392.74,0.8665,3.482,5.281,98.76,109.92,16838.3,42.05,2,98.62,2
63902,turbine,processing,night,S1,predictive,86.92,5660.0,277.24,408.38,0.9205,2.105,6.603,93.75,94.83,4985.0,36.79,0,97.556,1
63903,compressor,cold_storage,day,S3,predictive,63.85,2675.6,82.55,396.55,0.9461,2.46,5.551,96.93,99.29,7591.6,23.11,1,98.561,2
63904,conveyor,utilities,day,S2,preventive,55.35,843.6,42.85,400.31,0.893,1.958,4.687,78.41,86.38,4562.6,44.72,0,98.793,1
63905,compressor,packaging,evening,S1,predictive,59.7,2903.5,93.63,413.12,0.9264,1.713,6.369,73.48,83.96,2918.1,28.36,0,99.724,1
63906,conveyor,packaging,day,S3,preventive,61.06,865.0,47.79,402.19,0.9253,2.05,6.022,82.96,86.15,9168.6,20.57,1,98.928,1
63907,pump,utilities,night,S4,predictive,78.38,2147.5,60.6,394.59,0.8965,2.893,4.445,87.0,100.63,5070.0,54.62,0,99.482,3
63908,compressor,processing,day,S2,predictive,56.31,2881.8,92.18,397.41,0.9582,1.598,5.754,76.78,86.09,6221.7,16.04,0,98.96,1
63909,compressor,processing,day,S3,predictive,103.84,3883.4,196.21,383.01,0.8688,3.419,5.356,93.63,102.14,15793.2,60.98,3,98.973,2
63910,pump,utilities,day,S2,reactive,50.82,1467.5,30.06,408.23,0.9209,3.028,5.405,99.83,95.9,14235.4,147.6,0,99.606,2
63911,turbine,processing,night,S2,predictive,72.77,5464.5,243.37,408.02,0.9215,1.314,6.194,77.72,88.33,2057.6,13.24,0,97.943,1
63912,pump,cold_storage,day,S2,preventive,53.05,2131.1,44.38,396.58,0.9305,1.939,5.324,72.8,79.18,20943.5,24.0,0,99.046,1
63913,mixer,cold_storage,evening,S3,preventive,65.87,1597.2,116.33,400.63,0.956,1.958,5.888,68.05,74.8,14162.2,17.01,0,98.147,1
63914,pump,utilities,day,S2,reactive,64.0,1968.6,48.85,391.98,0.9334,2.48,5.949,74.91,80.85,16272.2,68.51,0,98.876,2
63915,conveyor,processing,night,S2,predictive,72.54,932.8,54.94,419.29,0.8793,3.035,4.647,86.93,94.8,19036.5,56.44,0,98.577,2
63916,compressor,assembly,night,S3,preventive,65.68,2549.5,79.79,385.71,0.9245,2.37,5.332,85.22,95.16,17278.5,36.56,0,99.58,1
63917,compressor,processing,day,S3,predictive,73.62,2972.4,99.71,391.37,0.9168,2.218,5.436,87.67,93.07,9591.3,19.04,0,98.8,1
63918,mixer,utilities,evening,S3,reactive,50.68,1428.9,79.75,404.06,0.9379,2.3,,76.61,81.06,10420.7,48.55,0,99.451,1
63919,compressor,utilities,day,S3,reactive,51.99,2430.9,74.78,407.69,0.8786,2.958,5.13,71.57,79.06,18417.4,157.53,0,98.849,1
63920,turbine,assembly,night,S2,predictive,84.77,5133.0,246.7,394.99,0.8491,2.46,5.919,98.04,100.06,18644.5,19.51,0,98.632,2
63921,conveyor,utilities,day,S4,reactive,60.37,856.5,48.28,411.2,0.9091,3.1,4.314,78.55,85.8,4740.2,39.35,1,99.322,1
63922,compressor,packaging,day,S4,predictive,51.11,2904.4,89.14,386.61,0.9092,1.949,6.003,83.46,86.21,10838.0,41.59,0,100.0,1
63923,turbine,processing,evening,S3,predictive,83.79,5644.8,264.96,327.88,0.8837,2.602,5.476,91.71,102.32,3114.5,64.33,2,99.241,2
63924,conveyor,assembly,day,S3,predictive,63.4,1081.4,52.5,410.74,0.9248,2.703,4.97,77.01,90.13,12097.4,32.8,0,98.837,1
63925,turbine,cold_storage,night,S3,predictive,79.29,4987.6,243.31,391.34,0.8861,3.235,6.623,84.93,95.35,9325.2,75.23,0,98.65,2
63926,compressor,utilities,day,S3,preventive,86.88,3664.8,148.58,408.11,0.9111,3.224,4.279,93.52,110.4,24354.0,15.59,3,,2
63927,turbine,assembly,evening,S2,preventive,77.06,4188.3,200.27,410.81,0.9352,3.255,5.952,90.95,102.99,11534.0,156.97,2,98.256,2
63928,conveyor,assembly,day,S2,predictive,46.28,991.2,39.91,392.59,0.9054,2.941,10.835,72.12,83.81,30691.0,30.84,1,98.351,1
63929,compressor,utilities,day,S4,preventive,63.48,2425.9,74.66,391.56,0.9244,1.883,5.565,82.05,92.61,11717.5,22.48,0,97.687,1
63930,compressor,cold_storage,evening,S3,predictive,80.87,2963.2,101.06,378.83,0.905,3.416,5.166,87.67,99.54,23642.0,47.48,1,100.0,2
63931,pump,processing,day,S2,reactive,60.89,2212.5,48.57,398.57,0.9123,2.846,5.047,89.56,101.83,23792.4,78.11,2,99.09,2
63932,pump,utilities,evening,S2,preventive,58.03,2044.8,44.4,407.31,0.8828,2.889,4.889,87.74,99.79,10086.0,108.53,0,99.004,1
63933,mixer,processing,night,S3,preventive,66.57,1454.5,91.8,410.45,0.9519,1.988,5.624,91.95,98.52,15281.3,31.16,3,98.871,1
63934,conveyor,processing,day,S3,predictive,74.9,1044.8,59.82,383.99,0.8958,2.918,4.865,91.55,100.28,19687.9,71.56,0,99.255,1
63935,compressor,utilities,evening,S2,predictive,89.26,3185.5,139.17,405.32,0.8761,3.582,5.759,89.97,102.42,10595.1,99.67,2,98.633,2
63936,pump,assembly,night,S2,predictive,72.91,2365.3,55.31,406.35,0.9392,2.784,5.077,84.25,94.57,18672.6,12.8,0,98.755,1
63937,conveyor,utilities,day,S2,predictive,53.41,930.6,39.64,395.84,0.946,3.056,4.926,76.23,87.29,7763.7,60.23,1,98.552,2
63938,pump,assembly,evening,S3,predictive,70.66,2173.1,53.96,407.72,0.9331,2.867,4.937,89.61,97.86,15643.5,8.41,0,99.952,1
63939,compressor,utilities,night,S1,reactive,47.25,2199.6,55.56,410.34,0.9265,1.519,6.387,73.85,76.87,7610.8,31.52,0,,1
63940,compressor,assembly,evening,S3,preventive,86.9,3521.3,134.39,404.73,0.9041,2.957,5.848,88.8,101.89,30876.8,47.04,0,98.398,2
63941,pump,utilities,day,S2,preventive,49.3,1817.4,42.86,399.55,0.8736,3.075,5.08,70.35,76.38,13492.0,77.03,0,98.324,2
63942,pump,cold_storage,day,S2,predictive,73.56,2503.3,62.6,390.87,0.9105,2.313,5.367,81.31,88.41,12790.2,33.6,1,98.962,1
63943,compressor,packaging,day,S2,reactive,58.93,2973.8,87.33,390.44,0.9237,2.932,6.033,77.15,85.99,28818.7,55.04,0,99.453,1
63944,compressor,assembly,day,S4,preventive,51.61,2902.8,83.97,404.59,0.9432,2.814,5.947,81.3,88.32,5586.8,93.86,0,99.601,1
63945,turbine,processing,evening,S2,predictive,86.87,5422.7,261.11,391.25,0.8791,3.775,6.165,93.18,99.66,11248.3,94.77,2,99.191,3
63946,conveyor,assembly,day,S2,predictive,40.69,823.8,34.0,398.12,0.9053,2.42,4.482,76.36,89.19,12112.3,49.18,0,99.109,1
63947,turbine,packaging,evening,S4,preventive,70.71,5242.4,249.13,398.91,0.9102,2.553,6.347,90.1,100.46,18465.2,51.44,0,99.895,1
63948,conveyor,processing,evening,S2,predictive,61.15,970.4,52.0,402.22,0.9288,1.744,6.027,78.33,85.91,10608.0,7.63,0,98.751,1
63949,compressor,utilities,day,S1,preventive,75.09,3034.2,109.05,392.65,0.8711,3.387,6.333,90.86,97.78,15456.5,66.37,2,99.187,2
63950,compressor,processing,evening,S2,reactive,84.29,3327.9,127.31,403.45,0.8975,3.358,5.588,92.63,98.04,16172.6,88.13,0,98.586,1
63951,conveyor,processing,night,S2,reactive,51.04,801.6,35.66,386.67,0.8421,3.364,4.442,79.57,87.66,25961.2,90.98,0,98.72,1
63952,turbine,processing,day,S3,predictive,87.53,6208.6,309.7,402.35,0.8972,2.096,6.109,109.85,117.27,12857.9,34.66,1,97.435,1
63953,pump,processing,evening,S2,preventive,94.95,2425.0,85.05,387.1,0.9064,3.579,5.277,86.9,95.7,22283.1,101.3,1,99.04,2
63954,compressor,processing,day,S3,predictive,96.52,3379.2,160.71,401.43,0.92,6.28,5.245,97.49,117.02,3257.6,35.18,3,98.932,3
63955,pump,cold_storage,night,S2,predictive,60.25,2200.0,50.25,392.58,0.9232,2.266,5.91,78.95,90.82,10487.8,19.7,2,95.76,2
63956,compressor,utilities,evening,S4,reactive,101.19,3696.5,160.25,399.02,0.9461,3.165,5.504,98.13,114.68,10629.3,124.76,1,99.095,3
63957,compressor,utilities,night,S4,predictive,68.72,3150.7,113.1,411.65,0.9646,2.306,4.374,80.93,90.05,9673.9,27.81,0,100.0,1
63958,mixer,packaging,day,S2,reactive,81.39,1796.1,151.25,386.38,0.8782,2.406,5.009,87.91,89.64,15442.5,10.44,1,99.864,2
63959,compressor,utilities,evening,S1,preventive,65.31,3094.8,99.36,393.71,0.9245,2.41,6.22,85.74,99.4,19998.2,46.46,0,98.75,1
63960,mixer,processing,day,S2,reactive,70.45,1376.4,103.61,397.56,0.8722,2.997,4.537,90.53,95.08,32217.8,15.8,3,99.068,2
63961,pump,assembly,night,S2,reactive,62.25,2332.1,55.22,405.48,0.8862,3.106,5.45,68.27,76.44,9776.8,85.85,1,99.77,1
63962,compressor,processing,night,S2,preventive,84.59,3225.8,133.76,399.86,0.94,2.719,5.732,96.99,103.4,17051.0,23.61,1,98.768,1
63963,conveyor,cold_storage,day,S2,predictive,61.89,990.9,56.01,400.03,0.9188,3.35,4.919,85.06,101.59,15514.4,94.55,0,98.4,2
63964,turbine,cold_storage,day,S1,preventive,96.78,5514.3,287.07,379.76,0.8891,4.108,5.991,102.98,132.17,26866.7,16.34,2,98.099,3
63965,turbine,packaging,evening,S1,preventive,87.77,5355.2,263.19,401.22,0.9263,2.496,5.958,91.84,102.88,13021.0,25.15,2,95.68,1
63966,compressor,packaging,day,S3,preventive,46.67,2241.8,58.64,408.92,0.9541,2.219,5.871,74.25,82.55,7483.0,85.53,0,98.608,1
63967,conveyor,processing,evening,S3,reactive,89.43,1122.6,74.76,405.42,0.9491,3.294,4.691,100.11,109.7,9851.3,44.84,2,100.0,3
63968,conveyor,processing,evening,S1,preventive,69.23,1080.9,58.62,405.38,0.9222,2.867,4.034,90.4,105.26,11885.0,50.93,0,99.243,2
63969,conveyor,packaging,day,S4,preventive,42.53,905.2,43.29,401.02,0.9442,2.674,5.577,70.59,80.74,11346.7,55.32,1,98.764,1
63970,compressor,assembly,night,S3,preventive,42.92,2522.0,64.92,404.29,0.9194,2.857,5.847,76.79,83.09,13482.9,49.21,0,99.261,1
63971,mixer,packaging,day,,reactive,42.35,1123.6,56.42,400.36,0.8657,3.736,4.569,71.48,81.47,19976.4,187.4,0,100.0,2
63972,pump,cold_storage,evening,S4,predictive,76.21,2348.3,65.2,391.2,0.9203,3.203,4.721,95.6,111.3,37469.5,26.14,3,97.854,2
63973,mixer,assembly,day,S3,predictive,88.23,1625.3,132.95,396.42,0.9594,2.058,5.692,83.6,93.85,4673.8,59.0,2,100.0,1
63974,pump,assembly,night,S2,reactive,86.29,2583.7,79.05,398.21,0.9495,3.205,5.797,82.34,94.35,17516.4,48.88,0,99.166,1
63975,conveyor,processing,day,S2,preventive,59.78,831.7,35.72,390.11,0.9531,1.821,5.0,79.91,88.67,1508.6,69.08,0,100.0,1
63976,compressor,assembly,day,S2,reactive,65.86,2706.6,85.66,393.23,0.9029,3.626,4.963,87.76,95.99,18009.0,153.59,1,98.82,3
63977,conveyor,assembly,evening,S3,predictive,33.79,729.6,24.86,392.74,0.9445,1.618,4.865,65.43,76.37,16351.5,16.65,0,97.576,1
63978,mixer,processing,evening,S2,preventive,62.02,1592.6,94.59,409.78,0.8797,3.035,5.913,75.46,86.13,31676.7,32.31,0,98.594,1
63979,pump,packaging,day,S2,preventive,57.37,1939.6,41.35,402.36,0.9139,2.409,5.475,75.47,82.84,18391.6,27.9,0,99.292,1
63980,conveyor,processing,evening,S2,reactive,44.12,1051.4,47.76,401.09,0.8939,3.3,5.06,77.41,84.11,10206.3,105.96,0,98.546,2
63981,pump,assembly,night,S3,preventive,55.85,1940.5,43.95,390.19,0.9491,2.116,5.21,74.28,85.16,15950.6,45.66,0,99.379,1
63982,compressor,assembly,day,S2,preventive,62.83,3122.2,99.95,379.95,0.9378,2.063,5.939,82.35,95.49,11966.0,42.82,0,99.922,1
63983,compressor,utilities,evening,S2,predictive,74.32,3104.4,110.46,415.73,0.8795,3.43,5.028,81.22,95.72,10996.1,20.0,2,99.38,2
63984,pump,assembly,night,S3,preventive,48.52,1914.7,39.98,398.93,0.8926,1.596,5.213,72.73,80.71,4883.0,52.2,0,96.136,1
63985,turbine,assembly,night,S2,predictive,58.86,4655.8,193.67,399.2,0.8917,2.462,5.384,79.61,90.1,13905.8,17.66,0,98.548,1
63986,conveyor,cold_storage,night,S2,preventive,58.74,986.0,48.44,416.05,0.9166,2.308,4.993,70.77,77.62,42434.1,15.86,1,99.087,1
63987,pump,processing,evening,S2,predictive,42.89,1959.9,39.05,407.21,0.8959,1.655,5.739,70.67,82.9,8250.1,33.49,0,99.79,1
63988,turbine,utilities,evening,S2,preventive,95.56,5506.9,274.0,400.3,0.9141,3.002,6.089,89.72,104.2,10746.2,52.34,0,98.897,1
63989,compressor,cold_storage,day,S2,preventive,77.33,3346.9,126.98,387.95,0.898,1.513,5.742,73.75,85.09,8154.6,32.25,0,99.494,1
63990,compressor,packaging,night,S4,preventive,68.8,3068.8,107.0,418.28,0.9305,2.423,6.515,84.76,94.83,23144.4,21.61,1,98.088,1
63991,conveyor,utilities,night,S1,predictive,47.79,968.8,40.96,393.69,0.8548,3.097,5.203,82.83,89.42,22652.3,64.68,2,97.987,1
63992,conveyor,cold_storage,day,S1,predictive,65.97,901.2,54.84,394.61,0.9283,3.255,4.422,83.33,92.3,12172.9,57.2,1,97.818,2
63993,pump,packaging,evening,S3,predictive,70.99,2424.6,58.25,399.65,0.9271,3.178,5.288,89.77,96.77,24985.1,70.91,1,99.898,1
63994,mixer,processing,day,S1,predictive,80.35,1625.2,117.46,392.37,0.9021,2.923,4.98,95.57,106.53,38111.8,9.32,1,98.499,3
63995,conveyor,assembly,evening,S3,preventive,48.0,872.7,43.77,423.75,0.951,,4.804,73.45,88.64,2520.6,36.8,1,99.091,2
63996,conveyor,processing,evening,S1,preventive,52.11,872.2,37.88,391.33,0.9366,5.111,4.771,74.94,94.85,4911.1,85.12,1,98.749,1
63997,pump,packaging,evening,S2,preventive,39.37,1812.9,33.01,395.03,0.9239,2.03,5.296,63.48,66.75,38968.7,3.35,0,99.105,1
63998,pump,processing,day,S1,reactive,66.93,2204.3,58.36,413.55,0.917,3.063,3.753,80.97,95.05,22054.1,88.02,2,98.689,3
63999,compressor,processing,day,S3,preventive,81.97,3164.6,124.24,413.47,0.9562,2.387,6.149,92.64,105.19,6673.9,29.49,0,99.765,1
64000,pump,packaging,night,S4,reactive,69.35,1999.1,51.45,389.62,0.9403,1.717,5.39,76.47,85.35,21044.6,12.71,0,99.077,1
64001,mixer,processing,night,S3,preventive,73.31,1567.3,95.26,406.56,0.9101,3.018,5.537,90.93,106.41,18358.4,28.36,1,99.442,2
64002,mixer,cold_storage,day,S2,predictive,54.75,1165.0,77.61,415.76,0.8682,2.84,4.952,67.36,77.22,22949.4,30.46,0,98.689,1
64003,compressor,cold_storage,day,S1,preventive,84.86,3530.0,148.27,384.53,0.93,2.715,5.691,86.46,94.83,21157.5,38.94,2,97.332,1
64004,pump,utilities,day,S2,reactive,57.78,1939.7,39.03,413.61,0.9309,2.684,4.517,70.72,80.48,17370.7,47.08,1,99.782,1
64005,mixer,utilities,night,S1,predictive,68.13,1596.5,103.93,405.57,0.8696,2.861,5.272,87.47,88.23,26215.6,15.51,2,97.754,2
64006,pump,assembly,evening,S3,preventive,43.99,1999.0,39.91,402.12,0.9495,4.27,5.311,80.54,88.15,11302.6,45.96,1,99.537,1
64007,compressor,packaging,day,S2,reactive,48.11,2446.2,58.97,417.03,0.9381,4.72,4.408,78.1,80.47,10531.9,160.22,3,98.793,3
64008,pump,processing,day,S2,reactive,57.43,2045.5,41.86,392.54,0.999,3.333,,76.51,88.03,14218.6,52.74,7,98.696,2
64009,turbine,processing,day,S3,reactive,54.05,4366.7,159.32,402.65,0.9375,2.586,6.205,75.27,84.2,6103.8,73.11,0,98.689,1
64010,compressor,utilities,day,S1,preventive,98.59,3396.2,133.55,397.56,0.9312,3.201,5.751,98.99,107.74,11017.3,24.2,1,97.263,3
64011,mixer,processing,evening,S1,predictive,68.99,1661.6,109.11,410.53,0.9232,2.453,5.355,84.57,89.39,30866.8,11.58,0,98.431,1
64012,pump,utilities,day,S2,predictive,42.79,1445.1,26.59,409.16,0.93,2.703,5.914,72.43,80.49,35589.1,25.9,1,98.981,1
64013,compressor,processing,day,S2,predictive,46.9,2511.1,72.76,395.36,0.9565,3.119,6.061,75.43,85.55,17940.0,36.63,0,99.031,1
64014,turbine,assembly,night,S2,predictive,69.69,5096.0,221.14,395.42,0.9434,2.536,7.021,92.07,103.44,7632.3,92.46,1,99.59,1
64015,turbine,packaging,evening,S3,predictive,82.45,5653.0,251.91,391.95,0.9528,2.692,5.362,84.71,97.66,12271.6,80.36,1,98.768,2
64016,turbine,assembly,evening,S3,reactive,67.58,4411.7,187.67,408.91,0.8895,3.02,5.084,83.13,89.79,21740.3,66.38,1,99.399,1
64017,compressor,utilities,night,S2,reactive,64.99,2826.9,82.28,384.23,0.9676,2.19,5.876,90.83,100.24,13385.0,73.32,1,98.253,1
64018,compressor,utilities,evening,S2,preventive,89.51,3485.3,136.52,375.99,0.8776,4.743,5.068,91.25,105.38,17964.3,110.33,0,98.131,2
64019,conveyor,utilities,day,S2,reactive,71.48,1055.4,71.49,399.68,0.8898,3.514,4.747,77.45,89.71,11758.4,40.81,2,98.678,1
64020,conveyor,packaging,evening,S1,preventive,52.99,882.2,41.83,397.72,0.8525,3.353,4.347,76.76,91.99,13812.9,134.65,4,98.302,3
64021,mixer,assembly,day,S2,preventive,51.47,1134.7,56.28,398.4,0.8936,2.324,4.55,80.97,94.51,25265.6,20.84,0,99.638,1
64022,compressor,cold_storage,night,S1,preventive,103.87,3461.9,178.36,398.96,0.8055,3.866,5.223,93.15,104.41,16011.0,102.0,1,98.165,3
64023,pump,packaging,evening,S2,predictive,64.13,2023.2,48.82,394.99,0.9213,1.789,5.669,90.57,93.36,16615.5,56.97,3,99.987,1
64024,pump,packaging,day,S4,predictive,42.0,1923.5,40.17,407.81,0.8807,4.741,3.21,83.5,95.37,6357.2,155.26,0,98.202,3
64025,compressor,utilities,evening,S3,reactive,88.23,3147.6,137.39,391.87,0.9206,3.156,5.598,85.59,94.55,21208.9,36.68,0,98.582,1
64026,conveyor,packaging,day,S3,predictive,61.92,888.7,50.84,406.09,0.9674,1.829,,85.2,93.09,7888.4,17.88,0,99.54,1
64027,pump,packaging,day,S3,preventive,60.14,2231.3,52.53,393.45,0.9312,2.484,5.027,80.08,86.13,11788.0,54.27,0,98.245,1
64028,turbine,utilities,evening,S2,preventive,80.42,5846.7,257.04,399.18,0.9552,2.395,6.863,87.82,98.14,14361.2,9.8,0,99.043,1
64029,conveyor,processing,day,S3,predictive,62.98,948.9,48.09,404.72,0.916,2.602,4.614,86.61,97.48,10443.7,40.91,0,99.283,1
64030,compressor,cold_storage,day,S1,preventive,69.6,3163.7,107.2,398.55,0.9654,2.613,5.128,89.24,95.98,16789.4,74.69,1,98.607,1
